timestamp_chegada,owd_ms
1785443654.4986994,29.613
1785443654.701866,5.021
1785443654.9088423,8.155
1785443655.1130054,5.201
1785443655.3199596,8.38
1785443655.524972,6.085
1785443655.7294943,5.655
1785443655.935344,6.824
1785443656.1400435,5.656
1785443656.3454494,6.608
1785443656.5504856,6.275
1785443656.754738,5.485
1785443656.9595656,5.83
1785443657.1651282,6.549
1785443657.3710465,7.554
1785443657.575753,6.44
1785443657.7818882,7.706
1785443657.9873521,6.763
1785443658.1932335,7.335
1785443658.3985796,6.691
1785443658.6042902,6.937
1785443658.80914,6.687
1785443659.0162237,8.648
1785443659.2225869,7.466
1785443659.4283872,7.651
1785443659.6339653,6.731
1785443659.84041,8.011
1785443660.048237,8.861
1785443660.2535496,7.723
1785443660.4583194,5.847
1785443660.6658964,9.08
1785443660.8760657,11.555
1785443661.0785437,8.898
1785443661.2873197,9.987
1785443661.4950328,9.484
1785443661.7009594,7.293
1785443661.9106176,10.926
1785443662.1106288,6.125
1785443662.3149846,5.71
1785443662.5210705,7.2
1785443662.7280328,8.306
1785443662.9321234,7.071
1785443663.1371863,6.293
1785443663.3422296,6.397
1785443663.5470815,6.356
1785443663.7519534,6.436
1785443663.9562685,5.754
1785443664.163684,8.439
1785443664.368354,6.242
1785443664.5739267,6.573
1785443664.7813635,8.972
1785443664.985793,5.971
1785443665.1906786,5.893
1785443665.3950014,5.847
1785443665.6012027,7.641
1785443665.8053052,7.493
1785443666.0091867,4.896
1785443666.2141697,6.039
1785443666.4200504,7.452
1785443666.6254892,6.638
1785443666.831302,7.394
1785443667.0367806,7.241
1785443667.2425115,7.237
1785443667.4465868,5.692
1785443667.6512735,5.666
1785443667.8553772,5.545
1785443668.0609286,6.486
1785443668.2659476,6.122
1785443668.4722636,7.343
1785443668.679026,7.842
1785443668.8866217,8.8
1785443669.0918145,7.643
1785443669.2984924,7.671
1785443669.5033498,5.939
1785443669.7088294,7.003
1785443669.9141524,6.631
1785443670.1196923,6.57
1785443670.3249822,6.643
1785443670.5305989,6.798
1785443670.7358246,6.559
1785443670.940523,6.634
1785443671.1449692,5.675
1785443671.3499286,6.054
1785443671.5548472,5.957
1785443671.7595723,6.28
1785443671.9638374,5.535
1785443672.1696637,6.812
1785443672.375399,7.521
1785443672.5803592,6.456
1785443672.785192,6.325
1785443672.9915638,7.503
1785443673.1961539,5.824
1785443673.4016,6.939
1785443673.6060503,6.235
1785443673.812792,8.374
1785443674.017992,6.734
1785443674.2233565,6.983
1785443674.429329,8.119
1785443674.6367395,8.538
1785443674.8435993,7.768
1785443675.0509927,8.465
1785443675.2560036,6.123
1785443675.46105,6.176
1785443675.6646903,5.248
1785443675.8698137,6.423
1785443676.0762372,8.0
1785443676.2816436,6.214
1785443676.4863954,5.751
1785443676.6913693,5.908
1785443676.8971097,7.025
1785443677.1021214,6.528
1785443677.3064451,5.606
1785443677.5113223,6.165
1785443677.715971,5.647
1785443677.9216676,6.776
1785443678.128161,7.705
1785443678.3329995,6.188
1785443678.5380044,6.327
1785443678.7424767,5.73
1785443678.9476619,6.303
1785443679.1527762,6.607
1785443679.3587992,7.318
1785443679.5646021,7.761
1785443679.7690947,6.339
1785443679.9746568,7.218
1785443680.1786964,5.819
1785443680.3834946,6.195
1785443680.5876646,5.746
1785443680.793705,7.213
1785443680.9991035,6.91
1785443681.2046165,7.303
1785443681.4095554,6.347
1785443681.6152697,6.708
1785443681.8200357,5.844
1785443682.0245333,5.649
1785443682.2288058,5.518
1785443682.4331262,5.298
1785443682.6382382,6.044
1785443682.843393,6.113
1785443683.0480752,5.59
1785443683.2528672,5.687
1785443683.4580803,6.164
1785443683.6633213,6.416
1785443683.868514,6.226
1785443684.0733402,5.915
1785443684.278908,6.65
1785443684.4853826,7.537
1785443684.6911302,6.839
1785443684.8963342,6.437
1785443685.101359,6.196
1785443685.307655,7.387
1785443685.5129886,7.167
1785443685.717323,6.463
1785443685.9238234,7.673
1785443686.12969,7.809
1785443686.3396263,11.799
1785443686.5401664,5.302
1785443686.744833,5.588
1785443686.9492414,5.437
1785443687.1528835,4.652
1785443687.3596933,7.635
1785443687.5663838,7.629
1785443687.7720382,6.789
1785443687.9761796,5.788
1785443688.1804178,5.528
1785443688.3847327,5.223
1785443688.5902283,6.429
1785443688.7981935,9.078
1785443689.0051458,8.306
1785443689.2106626,6.773
1785443689.4183068,9.456
1785443689.6242082,6.911
1785443689.8280053,5.598
1785443690.033147,6.24
1785443690.238124,6.225
1785443690.4434006,6.508
1785443690.651609,9.417
1785443690.8591974,9.45
1785443691.065696,8.377
1785443691.2703125,5.672
1785443691.4750283,5.826
1785443691.6794932,5.606
